Item Name,Price,Quantity,Date,Category,Total Price
LITTLE DREAMER,2.99,1,2025-01-14,Tea,2.99
BALANCEBROT,2.29,1,2025-01-16,Cereal,2.29
ZWIEBEL LAUCH,0.55,1,2025-01-16,Vegetables,0.55
ROSENKOHL,1.29,1,2025-01-16,Vegetables,1.29
CHAMPIGNONS BR,1.49,1,2025-01-16,Vegetables,1.49
GEMUESE RAVIOLI,1.49,2,2025-01-16,Ready Meals,2.98
BANANENCHIPS,2.49,1,2025-01-17,Candy,2.49
VEGANE SCHNITZEL,3.39,1,2025-01-17,Processed Meal Part,3.39
ZWIEBEL ROT,1.19,1,2025-01-20,Vegetables,1.19
KNOBLAUCH,0.99,1,2025-01-20,Vegetables,0.99
VEGANE SCHNITZEL,3.39,1,2025-01-20,Processed Meal Part,3.39
PASSIERTE TOMATE,1.19,3,2025-01-20,Vegetables,3.57
PORREE,0.69,1,2025-01-23,Vegetables,0.69
BIO HAFERKLEIE,1.89,1,2025-01-23,Breakfast,1.89
SERB.BOHNENSUPPE,1.99,2,2025-01-23,Ready Meals,3.98
WESTF.LINSENEINT,1.99,2,2025-01-23,Ready Meals,3.98
PASSIERTE TOMATE,1.19,2,2025-01-23,Vegetables,2.38
OM3 MINZFRISCH,1.59,1,2025-01-23,Hygiene,1.59
KARTOFFELN,2.22,1,2025-01-24,Vegetables,2.22
KAROTTE REWE PP,1.19,1,2025-01-24,Vegetables,1.19
WEIZEN MEHL,0.99,1,2025-01-24,Cereal,0.99
OLIV.GRUEN O.ST.,1.99,1,2025-01-24,Vegetables,1.99
GETR. TOMATEN,1.99,1,2025-01-24,Processed Meal Part,1.99
NATURALS ROSMARI,2.19,1,2025-01-24,Snacks,2.19
SOJAGURT NATUR,1.39,1,2025-01-25,Yoghurt-Meal,1.39
ORANGE 60%,1.39,1,2025-01-25,Candy,1.39
SOJAGURT NATUR,1.39,2,2025-01-27,Yoghurt-Meal,2.78
BIO PESTO ROSSO,2.49,1,2025-01-27,Processed Meal Part,2.49
BIO PESTO VERDE,2.49,1,2025-01-27,Processed Meal Part,2.49
SOJAGURT NATUR,1.39,2,2025-01-28,Yoghurt-Meal,2.78
PADS SENSEO DECA,3.29,1,2025-01-28,Coffee,3.29
NATURALS ROSMARI,2.19,1,2025-01-29,Snacks,2.19
ZWIEBEL ROT,1.19,1,2025-01-30,Vegetables,1.19
SULTANINEN,1.19,4,2025-01-30,Yoghurt-Meal,4.76
GETR. TOMATEN,1.99,1,2025-01-30,Processed Meal Part,1.99
TOFFIFEE WHITE,1.49,1,2025-01-30,Candy,1.49
SOJAGURT NATUR,1.39,1,2025-01-30,Yoghurt-Meal,1.39
VEGANE SCHNITZEL,3.39,1,2025-01-30,Processed Meal Part,3.39
PASSIERTE TOMATE,1.19,2,2025-01-30,Vegetables,2.38
BIO HAFERKLEIE,1.89,1,2025-01-31,Breakfast,1.89
Versch.Sorten,2.19,1,2025-01-31,Snacks,2.19
TOFFIFEE WHITE,1.49,1,2025-01-31,Candy,1.49
SOJAGURT NATUR,1.39,4,2025-02-01,Yoghurt-Meal,5.56
CORNFLAKES,1.69,1,2025-02-01,Yoghurt-Meal,1.69
Versch.Sorten,2.19,1,2025-02-01,Snacks,2.19
TOFFIFEE WHITE,1.49,1,2025-02-01,Candy,1.49
SOJAGURT NATUR,1.39,4,2025-02-03,Yoghurt-Meal,5.56
BACKKAKAO,2.19,2,2025-02-03,Yoghurt-Meal,4.38
MAGNESIUM,2.79,3,2025-02-03,Supplement,8.37
SOFT CAKE ORANGE,1.29,1,2025-02-03,Candy,1.29
PADS SENSEO DECA,3.29,1,2025-02-03,Coffee,3.29
KARTOFFELN,2.22,1,2025-02-07,Vegetables,2.22
VEGANE SCHNITZEL,3.39,1,2025-02-07,Processed Meal Part,3.39
BIO HAFERKLEIE,1.89,1,2025-02-07,Breakfast,1.89
BIO PESTO VERDE,2.49,2,2025-02-07,Processed Meal Part,4.98
PASSIERTE TOMATE,1.19,2,2025-02-07,Vegetables,2.38
STUECKIGE TOMATE,1.19,2,2025-02-07,Vegetables,2.38
SOJAGURT NATUR,1.39,4,2025-02-08,Yoghurt-Meal,5.56
VEGANE SCHNITZEL,3.39,1,2025-02-08,Processed Meal Part,3.39
SULTANINEN,1.19,4,2025-02-08,Yoghurt-Meal,4.76
SOFT CAKE ORANGE,1.29,1,2025-02-08,Candy,1.29
BE HAPPY TEE,2.99,1,2025-02-08,Tea,2.99
CHIPSF.UNGA.,2.79,1,2025-02-10,Snacks,2.79
BANANENCHIPS,1.79,1,2025-02-11,Candy,1.79
SOJAGURT NATUR,1.39,3,2025-02-11,Yoghurt-Meal,4.17
KAROTTE REWE PP,0.99,1,2025-02-13,Vegetables,0.99
BIO EIER KL. S-L,2.99,1,2025-02-13,Animal,2.99
MILDESSA 3 MIN.,2.19,1,2025-02-13,Processed Meal Part,2.19
MERCI MOU.CHOC,2.79,1,2025-02-13,Candy,2.79
SOJAGURT NATUR,1.39,4,2025-02-14,Yoghurt-Meal,5.56
BIO HAFERKLEIE,1.89,1,2025-02-14,Breakfast,1.89
CORNFLAKES,1.69,1,2025-02-14,Yoghurt-Meal,1.69
MAULTASCHEN VEG.,1.49,1,2025-02-17,Processed Meal Part,1.49
CHINAKOHL BW,1.99,1.996,2025-02-17,Vegetables,3.97
GURKE BIO,0.99,1,2025-02-17,Vegetables,0.99
SOJAGURT NATUR,1.39,4,2025-02-17,Yoghurt-Meal,5.56
ERDN.GER.+GES.,8.99,1,2025-02-17,Snacks,8.99
FA,0.99,1,2025-02-17,Hygiene,0.99
DG DIVINE MOMENT,0.99,1,2025-02-17,Hygiene,0.99
BIO PESTO VERDE,2.49,1,2025-02-18,Processed Meal Part,2.49
CURRY PASTE ROT,1.39,1,2025-02-18,Processed Meal Part,1.39
FRO.AL.VER.SPUEL,1.99,1,2025-02-18,Hygiene,1.99
KARTOFFELN BIO,2.99,1,2025-02-18,Vegetables,2.99
ZWIEBEL ROT,1.19,1,2025-02-18,Vegetables,1.19
SOJAGURT NATUR,1.39,4,2025-02-18,Yoghurt-Meal,5.56
KOKOSM.CREMIG,1.29,2,2025-02-18,Processed Meal Part,2.58
SOJAGURT NATUR,1.39,4,2025-02-21,Yoghurt-Meal,5.56
CORNFLAKES,1.69,1,2025-02-21,Yoghurt-Meal,1.69
SULTANINEN,1.19,1,2025-02-21,Yoghurt-Meal,1.19
BIO SULTANINEN,1.09,3,2025-02-21,Yoghurt-Meal,3.27
BACKKAKAO,2.19,2,2025-02-21,Yoghurt-Meal,4.38
VEG. MINI-MAULT.,1.49,1,2025-02-22,Processed Meal Part,1.49
SOJAGURT NATUR,1.39,3,2025-02-22,Yoghurt-Meal,4.17
HERINGSFILET TER,1.11,2,2025-02-22,Ready Meals,2.22
PASSIERTE TOMATE,1.19,2,2025-02-22,Vegetables,2.38
NATURALS ROSMARI,2.19,1,2025-02-22,Snacks,2.19
SOJAGURT NATUR,1.39,1,2025-02-24,Yoghurt-Meal,1.39
SERB.BOHNENSUPPE,3.39,1,2025-02-24,Ready Meals,3.39
BOHNEN-EINTOPF,3.39,1,2025-02-24,Ready Meals,3.39
LINSEN-EINTOPF,3.39,1,2025-02-24,Ready Meals,3.39
BIO PESTO VERDE,2.49,2,2025-02-24,Processed Meal Part,4.98
CHINAKOHL BW,1.29,0.874,2025-02-25,Vegetables,1.13
SOJAGURT NATUR,1.39,5,2025-02-25,Yoghurt-Meal,6.95
BIO HAFERKLEIE,1.89,1,2025-02-25,Breakfast,1.89
MUELLBEUTEL 35L,1.19,1,2025-02-25,Hygiene,1.19
SOJAGURT NATUR,1.39,3,2025-02-26,Yoghurt-Meal,4.17
KINDERSCHOKOLADE,1.29,1,2025-02-26,Candy,1.29
BANANE,1.99,1.42,2025-02-27,Fruit,2.83
NUSSKERNMISCHUNG,2.99,1,2025-02-27,Snacks,2.99
APFELCHIPS BIO,2.49,1,2025-02-27,Candy,2.49
PAPRIKA MIX ESP,2.99,1,2025-02-27,Vegetables,2.99
BE HAPPY TEE,2.99,1,2025-02-27,Tea,2.99
BANANENCHIPS,2.49,1,2025-02-28,Candy,2.49
SOJAGURT NATUR,1.39,4,2025-02-28,Yoghurt-Meal,5.56
GEMUESE RAVIOLI,1.99,2,2025-02-28,Ready Meals,3.98
ORIENTAL,1.99,1,2025-02-28,Snacks,1.99
ZWIEBEL ROT,1.19,1,2025-03-01,Vegetables,1.19
CORNFLAKES,1.59,1,2025-03-01,Yoghurt-Meal,1.59
KARTOFFELN,2.49,1,2025-03-03,Vegetables,2.49
SOJAGURT NATUR,1.39,3,2025-03-03,Yoghurt-Meal,4.17
SULTANINEN,1.19,4,2025-03-03,Yoghurt-Meal,4.76
BACKKAKAO,2.19,1,2025-03-03,Yoghurt-Meal,2.19
MAGNESIUM,2.69,4,2025-03-03,Supplement,10.76
COCA COLA ZERO,1.29,1,2025-03-03,Cola,1.29
"PFAND 0,25 EURO",0.25,1,2025-03-03,Pawn,0.25
KAROTTE BIO,1.49,1,2025-03-05,Vegetables,1.49
PORREE,0.69,2,2025-03-05,Vegetables,1.38
SOJAGURT NATUR,1.39,4,2025-03-05,Yoghurt-Meal,5.56
PATNA REIS LOSE,3.29,1,2025-03-05,Cereal,3.29
GETR. TOMATEN,1.99,1,2025-03-05,Processed Meal Part,1.99
KOKOSM.CREMIG,1.29,2,2025-03-05,Processed Meal Part,2.58
STUECKIGE TOMATE,1.19,2,2025-03-05,Vegetables,2.38
ERDN.GER.+GES.,8.99,2,2025-03-05,Snacks,17.98
"2x Porree = 1,00",-0.38,1,2025-03-05,Discount,-0.38
SOJAGURT NATUR,1.39,4,2025-03-06,Yoghurt-Meal,5.56
CORNFLAKES,1.59,1,2025-03-06,Yoghurt-Meal,1.59
SULTANINEN,1.19,2,2025-03-06,Yoghurt-Meal,2.38
SOJAGURT NATUR,1.39,4,2025-03-08,Yoghurt-Meal,5.56
KAKAO,3.79,1,2025-03-08,Yoghurt-Meal,3.79
SOJAGURT NATUR,1.39,4,2025-03-10,Yoghurt-Meal,5.56
SOJAGURT NATUR,1.39,4,2025-03-12,Yoghurt-Meal,5.56
BIO PESTO VERDE,2.49,3,2025-03-12,Processed Meal Part,7.47
BIO KESSELCHIPS,1.99,1,2025-03-12,Snacks,1.99
BANANE,1.99,1.234,2025-03-14,Fruit,2.46
VEGANE SCHNITZEL,3.39,1,2025-03-14,Processed Meal Part,3.39
BIO KESSELCHIPS,1.99,1,2025-03-14,Snacks,1.99
SOJAGURT NATUR,1.39,4,2025-03-15,Yoghurt-Meal,5.56
CORNFLAKES,1.59,1,2025-03-15,Yoghurt-Meal,1.59
NUSSKERNMISCHUNG,2.99,1,2025-03-15,Snacks,2.99
APFELCHIPS BIO,2.49,1,2025-03-15,Candy,2.49
ZUCCHINI BIO,1.29,1,2025-03-15,Vegetables,1.29
SOJAGURT NATUR,1.39,4,2025-03-17,Yoghurt-Meal,5.56
SULTANINEN,1.19,4,2025-03-17,Yoghurt-Meal,4.76
CURRYPASTE  KORM,4.29,1,2025-03-17,Processed Meal Part,4.29
TANDOORI CURRY P,4.29,1,2025-03-17,Processed Meal Part,4.29
BIO KESSELCHIPS,1.99,1,2025-03-17,Snacks,1.99
ZARTBITTER 50%,1.79,1,2025-03-17,Candy,1.79
SOJAGURT NATUR,1.39,4,2025-03-19,Yoghurt-Meal,5.56
REWE WOKMISCHUNG,1.99,1,2025-03-19,Vegetables,1.99
HOLLAEND.KAKAO,2.79,1,2025-03-19,Yoghurt-Meal,2.79
SPAETZLETOPF,1.99,1,2025-03-19,Ready Meals,1.99
SERB.BOHNENSUPPE,1.99,1,2025-03-19,Ready Meals,1.99
GEMUESE RAVIOLI,1.99,2,2025-03-19,Ready Meals,3.98
SOJAGURT NATUR,1.39,4,2025-03-20,Yoghurt-Meal,5.56
BIO KESSELCHIPS,1.99,1,2025-03-20,Snacks,1.99
BE HAPPY TEE,2.99,1,2025-03-20,Tea,2.99
ZWIEBEL ROT,0.75,1,2025-03-22,Vegetables,0.75
SOJAGURT NATUR,1.39,4,2025-03-22,Yoghurt-Meal,5.56
BLATTSPINAT,2.39,1,2025-03-22,Vegetables,2.39
CORNFLAKES,1.59,1,2025-03-22,Yoghurt-Meal,1.59
SULTANINEN,1.19,2,2025-03-22,Yoghurt-Meal,2.38
HOLLAEND.KAKAO,2.79,1,2025-03-22,Yoghurt-Meal,2.79
PASSIERTE TOMATE,1.19,2,2025-03-22,Vegetables,2.38
STUECKIGE TOMATE,1.19,2,2025-03-22,Vegetables,2.38
MAULTASCHEN VEG.,1.49,1,2025-03-25,Processed Meal Part,1.49
KARTOFFEL,1.79,1,2025-03-25,Vegetables,1.79
WEISSKOHL,1.29,2.55,2025-03-25,Vegetables,3.29
KAROTTE BIO,1.69,1,2025-03-25,Vegetables,1.69
OFENFRISCH.PIZZA,2.22,1,2025-03-25,Ready Meals,2.22
BIO KESSELCHIPS,1.99,1,2025-03-25,Snacks,1.99
COCA COLA ZERO,1.19,1,2025-03-25,Cola,1.19
"PFAND 0,25 EURO",0.25,1,2025-03-25,Pawn,0.25
SOJAGURT NATUR,1.39,4,2025-03-26,Yoghurt-Meal,5.56
SOJAGURT NATUR,1.39,4,2025-03-27,Yoghurt-Meal,5.56
COCA COLA ZERO,1.19,1,2025-03-27,Cola,1.19
"PFAND 0,25 EURO",0.25,1,2025-03-27,Pawn,0.25
TOIPA 3LG RC,2.69,1,2025-03-27,Hygiene,2.69
TEMPO TASCHENT.,2.35,1,2025-03-27,Hygiene,2.35
BANANE,1.99,0.702,2025-03-28,Fruit,1.4
BIO KESSELCHIPS,1.99,1,2025-03-28,Snacks,1.99
COCA COLA ZERO,1.19,1,2025-03-28,Cola,1.19
"PFAND 0,25 EURO",0.25,1,2025-03-28,Pawn,0.25
SOJAGURT NATUR,1.39,4,2025-03-29,Yoghurt-Meal,5.56
CORNFLAKES,1.59,1,2025-03-29,Yoghurt-Meal,1.59
SULTANINEN,1.19,3,2025-03-29,Yoghurt-Meal,3.57
HOLLAEND.KAKAO,2.79,1,2025-03-29,Yoghurt-Meal,2.79
BIO PESTO VERDE,2.49,2,2025-03-29,Processed Meal Part,4.98
COCA COLA ZERO,1.19,1,2025-03-29,Cola,1.19
"PFAND 0,25 EURO",0.25,1,2025-03-29,Pawn,0.25
RIFFELS NATURELL,1.49,1,2025-03-31,Snacks,1.49
ORANGE 60%,1.99,1,2025-03-31,Candy,1.99
BANANENCHIPS,2.49,1,2025-04-01,Candy,2.49
SOJAGURT NATUR,1.39,4,2025-04-01,Yoghurt-Meal,5.56
BIO HAFERKLEIE,1.89,1,2025-04-01,Breakfast,1.89
SOJAGURT NATUR,1.39,4,2025-04-03,Yoghurt-Meal,5.56
BAMI GORENG,2.49,1,2025-04-03,Ready Meals,2.49
VEGANE SCHNITZEL,3.39,1,2025-04-03,Processed Meal Part,3.39
HOLLAEND.KAKAO,2.79,1,2025-04-03,Yoghurt-Meal,2.79
KOKOSM.CREMIG,1.29,3,2025-04-03,Processed Meal Part,3.87
ERDN.GER.+GES.,8.99,1,2025-04-03,Snacks,8.99
BANANE,1.99,0.866,2025-04-05,Fruit,1.72
BIO EIER KL. S-L,2.99,1,2025-04-05,Animal,2.99
SOJAGURT NATUR,1.39,2,2025-04-05,Yoghurt-Meal,2.78
MAGNUM CLASSIC,2.99,1,2025-04-05,Candy,2.99
APFEL BANANE,2.39,1,2025-04-05,Processed Meal Part,2.39
COLA ZERO KOFFEI,1.89,1,2025-04-05,Cola,1.89
"PFAND 0,25 EURO",0.25,1,2025-04-05,Pawn,0.25
SOJAGURT NATUR,1.39,1,2025-04-07,Yoghurt-Meal,1.39
DIJON SENF BIO,1.29,1,2025-04-07,Processed Meal Part,1.29
COCA COLA ZERO,1.19,1,2025-04-07,Cola,1.19
"PFAND 0,25 EURO",0.25,1,2025-04-07,Pawn,0.25
BIO EIER KL. S-L,2.99,1,2025-04-08,Animal,2.99
NIMM2 SOFT,1.99,1,2025-04-08,Candy,1.99
KUNTERBUNT,2.49,1,2025-04-08,Candy,2.49
HENGLEIN GNOCCHI,1.99,1,2025-04-08,Processed Meal Part,1.99
KARTOFFEL,2.99,1,2025-04-08,Vegetables,2.99
PORREE,0.55,1,2025-04-08,Vegetables,0.55
CHAMPIGNONS BR,2.29,1,2025-04-08,Vegetables,2.29
SOJAGURT NATUR,1.39,1,2025-04-08,Yoghurt-Meal,1.39
OLIV.GRUEN O.ST.,1.99,1,2025-04-08,Vegetables,1.99
SCHOKO TRIO,2.29,1,2025-04-09,Candy,2.29
COCA COLA ZERO,1.19,1,2025-04-09,Cola,1.19
"PFAND 0,25 EURO",0.25,1,2025-04-09,Pawn,0.25
BANANE,1.99,0.892,2025-04-11,Fruit,1.78
MANDELDRINK,1.79,1,2025-04-11,Dairy Replacement,1.79
BIO HAFERKLEIE,1.89,1,2025-04-11,Breakfast,1.89
COCA COLA ZERO,1.19,1,2025-04-11,Cola,1.19
"PFAND 0,25 EURO",0.25,1,2025-04-11,Pawn,0.25
SOJAGURT NATUR,1.39,3,2025-04-12,Yoghurt-Meal,4.17
CORNFLAKES,1.45,1,2025-04-12,Yoghurt-Meal,1.45
SULTANINEN,1.19,4,2025-04-12,Yoghurt-Meal,4.76
BIO PESTO ROSSO,2.49,2,2025-04-12,Processed Meal Part,4.98
BIO KESSELCHIPS,1.99,1,2025-04-12,Snacks,1.99
SOJAGURT NATUR,1.39,4,2025-04-16,Yoghurt-Meal,5.56
SERB.BOHNENSUPPE,1.99,2,2025-04-16,Ready Meals,3.98
LINSEN-EINTOPF,1.99,2,2025-04-16,Ready Meals,3.98
BIO PESTO ROSSO,2.49,3,2025-04-16,Processed Meal Part,7.47
BANANE,1.79,1.388,2025-04-22,Fruit,2.48
THOMY MAYONNAISE,1.59,1,2025-04-22,Processed Meal Part,1.59
BIO KESSELCHIPS,1.99,1,2025-04-22,Snacks,1.99
SOJAGURT NATUR,1.39,4,2025-04-22,Yoghurt-Meal,5.56
TAGLIATELLE,1.99,1,2025-04-22,Ready Meals,1.99
HOLLAEND.KAKAO,2.79,1,2025-04-22,Yoghurt-Meal,2.79
BRATOEL,2.85,1,2025-04-22,Oil,2.85
COCA COLA ZERO,1.39,1,2025-04-22,Cola,1.39
"PFAND 0,25 EURO",0.25,1,2025-04-22,Pawn,0.25
ZWIEBEL ROT,1.19,1,2025-04-25,Vegetables,1.19
RISPENTOMATE BIO,3.49,1,2025-04-25,Vegetables,3.49
AUBERGINE,1.19,1,2025-04-25,Vegetables,1.19
ZUCCHINI BIO,1.69,1,2025-04-25,Vegetables,1.69
BIO TOMATENS.BOL,1.89,1,2025-04-25,Processed Meal Part,1.89
PESTO ALLA GENO.,3.59,1,2025-04-25,Processed Meal Part,3.59
GETR. TOMATEN,1.99,1,2025-04-25,Processed Meal Part,1.99
BE HAPPY TEE,2.99,1,2025-04-25,Tea,2.99
SOYADESS.VANILLE,2.19,1,2025-04-25,Candy,2.19
SOYADESS.SCHOKO,2.19,1,2025-04-25,Candy,2.19
SOJAGURT NATUR,1.39,4,2025-04-25,Yoghurt-Meal,5.56
BRUSCH.ROAST.GA.,1.99,1,2025-04-25,Snacks,1.99
GNOCCHI SPIN.BAS,1.79,1,2025-04-25,Processed Meal Part,1.79
BIO EIER KL. S-L,2.99,1,2025-04-25,Animal,2.99
MANDELDRINK,1.79,1,2025-04-25,Dairy Replacement,1.79
SOJAGURT NATUR,1.39,1,2025-04-25,Yoghurt-Meal,1.39
BIO HAFERKLEIE,1.89,1,2025-04-25,Breakfast,1.89
SULTANINEN,1.19,3,2025-04-25,Yoghurt-Meal,3.57
OLIV.GRUEN O.ST.,1.99,1,2025-04-25,Vegetables,1.99
COCA COLA ZERO,1.39,1,2025-04-25,Cola,1.39
"PFAND 0,25 EURO",0.25,1,2025-04-25,Pawn,0.25
GNOCCHI,1.89,1,2025-04-28,Processed Meal Part,1.89
SOJAGURT NATUR,1.39,4,2025-04-28,Yoghurt-Meal,5.56
HAFERFL. ZART,0.69,1,2025-04-28,Breakfast,0.69
BIO HAFERKLEIE,1.89,1,2025-04-28,Breakfast,1.89
CORNFLAKES,1.45,1,2025-04-28,Yoghurt-Meal,1.45
COCA COLA ZERO,1.11,1,2025-04-28,Cola,1.11
"PFAND 0,25 EURO",0.25,1,2025-04-28,Pawn,0.25
SOJAGURT NATUR,1.39,4,2025-04-30,Yoghurt-Meal,5.56
HAEHN.GESCHNETZE,2.79,1,2025-04-30,Ready Meals,2.79
HOLLAEND.KAKAO,2.79,2,2025-04-30,Yoghurt-Meal,5.58
Versch.Sorten,1.49,1,2025-04-30,Snacks,1.49
COCA COLA ZERO,1.11,1,2025-04-30,Cola,1.11
"PFAND 0,25 EURO",0.25,1,2025-04-30,Pawn,0.25
SOJAGURT NATUR,1.39,4,2025-05-02,Yoghurt-Meal,5.56
BIO PESTO VERDE,2.49,3,2025-05-02,Processed Meal Part,7.47
COCA COLA ZERO,1.11,1,2025-05-02,Cola,1.11
"PFAND 0,25 EURO",0.25,1,2025-05-02,Pawn,0.25
SOJAGURT NATUR,1.39,4,2025-05-03,Yoghurt-Meal,5.56
SULTANINEN,1.19,2,2025-05-03,Yoghurt-Meal,2.38
Versch.Sorten,1.49,1,2025-05-03,Snacks,1.49
COCA COLA ZERO,1.11,1,2025-05-03,Cola,1.11
"PFAND 0,25 EURO",0.25,1,2025-05-03,Pawn,0.25
