item,category
Versch.Sorten,Snacks
RITTER CREAMY M.,Candy
HASELNUSS,Candy
"Ritter Sport 0,77",Discount
NATURALS ROSMARI,Snacks
WAFFEL,Candy
KART.FESTK.BIO,Vegetables
ZWIEBELN BIO,Vegetables
CHAMPIGNONS BR,Vegetables
RAVIOLI DIAVOLI,Ready Meals
DUSCHE NOIRE,Hygiene
DUSCHE ICE KICK,Hygiene
KOKOS&SHEA,Hygiene
MOZZARELLA,Dairy
CHIPSFRISCH UNGA,Snacks
BIO EIER KL. S-L,Animal
BIO GETR.TOMATEN,Processed Meal Part
BIO KESSELCHIPS,Snacks
BIO KICH.ERB.CHI,Snacks
SCHOGETTEN ZB,Candy
COCA COLA ZERO,Cola
CRUNCHIPS HOTP,Snacks
"Lorenz 0,99",Discount
PAPRIKA ROT,Vegetables
HAEHNCHENPFANNE,Ready Meals
BIO HIRTENKAESE,Dairy
TOMATE RISPE,Vegetables
OFENFRISCH.PIZZA,Ready Meals
Rewe Regional 5%,Discount
VEGANE SCHNITZEL,Processed Meal Part
JUNGER SPINAT,Vegetables
PFEFFERK. SCHW.,Spices
EPIC FRESH,Candy
KNOBLAUCH BIO,Vegetables
GEMUESEBRUEHE,Processed Meal Part
ORO TOMATENMARK,Processed Meal Part
OM3 MINZFRISCH,Hygiene
TEMPO TASCHENT.,Hygiene
RAPSKERNOEL,Oil
GEMUESEPF. MEDIT,Ready Meals
SCHOKOLADE 85%,Candy
CAPPELLETTI SPIN,Processed Meal Part
RAVIOLI PIKANT,Ready Meals
CLA. ALM. WHITE,Candy
RBW  5%,Discount
BRAUSETABLETTEN,Supplement
ERDN.GER.+GES.,Snacks
KNUSPERKEKS,Candy
NOIR 80% FLACH,Candy
KINDERSCHOKOLADE,Candy
VEG. HASELNUSS,Candy
PADS SENSEO DECA,Coffee
BANANE,Fruit
RISPENTOMATE DEU,Vegetables
IGLO BLATTSPINAT,Vegetables
CORNFLAKES,Yoghurt-Meal
ZITRONE KL,Vegetables
KARTOFFEL,Vegetables
ZUCCHINI BIO,Vegetables
REWE JUNGER SPI.,Vegetables
BIO TK BROCCOLI,Vegetables
BANANENCHIPS,Candy
HAFERFL. KERNIG,Breakfast
RECYCL.TOILETT.,Hygiene
"BIO JOGHURT 3,8%",Dairy
SOJA NATUR UNGES,Yoghurt-Meal
LAUCHZW. BIO,Vegetables
AUBERGINE,Vegetables
GETR. TOMATEN,Processed Meal Part
PASSIERTE TOMATE,Vegetables
PFIRSICH GELB,Fruit
"Coca Cola 2L 1,19",Discount
BANANE BIO,Fruit
TOFFIFEE WHITE,Candy
FA MEN,Hygiene
FA,Hygiene
LEERG. MW E. ST,Pawn Payback
"Fa Dusche 0,88",Discount
ZWIEBEL ROT BIO,Vegetables
BIO SUESSR-BUTT.,Dairy
APFEL SNACKAPFEL,Fruit
INGWER BIO,Vegetables
KUERB. HOKKAIDO,Vegetables
WEIZEN-VOLLKORNM,Cereal
SPEISEHIRSE,Cereal
BACKIN,Processed Meal Part
BACKAROM.ZITRONE,Processed Meal Part
HONIG FLUESSIG,Processed Meal Part
EIER FH RES 10ER,Animal
SERVIETTEN 33CM,Hygiene
OBLATEN,Candy
RBW Produkte -10%,Discount
KARTOFFELN BIO,Vegetables
ZWIEBEL ROT,Vegetables
COCKTAILRISPE,Vegetables
CHAMPIGNONS W,Vegetables
BLATTSPINAT,Vegetables
HAFERFL. ZART,Breakfast
LINSENCHIPS,Snacks
RBW Produkte -5%,Discount
MY HAPPY PLACE,Tea
BE HAPPY TEE,Tea
APF. SANTANA BIO,Fruit
SOYADESS.VANILLE,Candy
SOYADESS.SCHOKO,Candy
BIO KOKOSMILCH,Processed Meal Part
KAROTTE BIO,Vegetables
HAEHNCHEN PAELLA,Ready Meals
"Frosta Gerichte 2,49",Discount
BIO CAMEMBERT,Dairy
SOJAGURT NATUR,Yoghurt-Meal
TORT. TOM-MOZ,Processed Meal Part
"Appel Heringsf. 1,19",Discount
ORANGE 60%,Candy
TORTELLONI,Processed Meal Part
KEKSE NUESSE,Candy
M&M S 250GR,Candy
PAELLA,Ready Meals
PRINZENROLLE,Candy
APFELMUS,Processed Meal Part
"Funny Frisch 1,11",Discount
SCHOKOMUESLI,Breakfast
SOFT CAKE ORANGE,Candy
ZITRONE BIO,Vegetables
SCHINKEN-SAUERRA,Ready Meals
HERINGSFILET TER,Ready Meals
ZC KARIESSCHUTZ,Hygiene
"Ofenfrische 1,88",Discount
KNOBLAUCH,Vegetables
BIO PORR. BEERE,Breakfast
AUBERGINE BIO,Vegetables
LEERG. MW V. ST,Pawn Payback
ROTKOHL,Vegetables
MERCI MOU.CHOC,Candy
CHOCO EDELHERB,Candy
"Merci 2,29",Discount
PRINZENROLLE VK,Candy
M&M S PEANUT,Candy
LEIBNIZ MINIS,Candy
BIO PORR. KAKAO,Yoghurt-Meal
REWE RAHMSPINAT,Processed Meal Part
LITTLE DREAMER,Tea
TOFFIFEE 48ER,Candy
BACKKAKAO,Yoghurt-Meal
ZITRONE,Vegetables
KAROTTE,Vegetables
BIO HAFERKLEIE,Breakfast
LINSEN-EINTOPF,Ready Meals
GNOCCHI,Processed Meal Part
WIRSING,Vegetables
TELLERLINSEN,Lentils
BIO EIER S-XL,Animal
OLIV KNOBL 150G,Vegetables
BW ZIMT,Yoghurt-Meal
ZITR.-DIREKTSAFT,Processed Meal Part
BIO ROTE LINSEN,Lentils
